Date,^GSPC,^DJI,^TNX,^IXIC,^RUT
2023-05-17,4158.77001953125,33420.76953125,3.5810000896453857,12500.5703125,1774.5
2023-05-18,4198.0498046875,33535.91015625,3.6480000019073486,12688.83984375,1784.8599853515625
2023-05-19,4191.97998046875,33426.62890625,3.691999912261963,12657.900390625,1773.719970703125
2023-05-22,4192.6298828125,33286.578125,3.7190001010894775,12720.7802734375,1795.3800048828125
2023-05-23,4145.580078125,33055.51171875,3.697999954223633,12560.25,1787.7099609375
2023-05-24,4115.240234375,32799.921875,3.7190001010894775,12484.16015625,1767.0
2023-05-25,4151.27978515625,32764.650390625,3.813999891281128,12698.08984375,1754.5999755859375
2023-05-26,4205.4501953125,33093.33984375,3.809999942779541,12975.6904296875,1773.02001953125
2023-05-30,4205.52001953125,33042.78125,3.700000047683716,13017.4296875,1767.2900390625
2023-05-31,4179.830078125,32908.26953125,3.63700008392334,12935.2900390625,1749.6500244140625
2023-06-01,4221.02001953125,33061.5703125,3.6080000400543213,13100.98046875,1767.93994140625
2023-06-02,4282.3701171875,33762.76171875,3.690999984741211,13240.76953125,1830.9100341796875
2023-06-05,4273.7900390625,33562.859375,3.693000078201294,13229.4296875,1806.7099609375
2023-06-06,4283.85009765625,33573.28125,3.6989998817443848,13276.419921875,1855.4000244140625
2023-06-07,4267.52001953125,33665.01953125,3.7839999198913574,13104.900390625,1888.449951171875
2023-06-08,4293.93017578125,33833.609375,3.7139999866485596,13238.51953125,1880.780029296875
2023-06-09,4298.85986328125,33876.78125,3.744999885559082,13259.1396484375,1865.7099609375
2023-06-12,4338.93017578125,34066.328125,3.765000104904175,13461.919921875,1873.2099609375
2023-06-13,4369.009765625,34212.12109375,3.8389999866485596,13573.3203125,1896.3299560546875
2023-06-14,4372.58984375,33979.328125,3.7960000038146973,13626.48046875,1874.0999755859375
2023-06-15,4425.83984375,34408.05859375,3.7279999256134033,13782.8203125,1889.280029296875
2023-06-16,4409.58984375,34299.12109375,3.7690000534057617,13689.5703125,1875.469970703125
2023-06-20,4388.7099609375,34053.87109375,3.7290000915527344,13667.2900390625,1866.699951171875
2023-06-21,4365.68994140625,33951.51953125,3.7230000495910645,13502.2001953125,1863.010009765625
2023-06-22,4381.89013671875,33946.7109375,3.7990000247955322,13630.6103515625,1848.1800537109375
